Category,SubCategory,CatID,CatShort,Explanations,Synonyms - Comma Separated,Category_fr,SubCategory_fr,Category_pl,SubCategory_pl,Category_de,SubCategory_de,Category_pt,SubCategory_pt,Category_pt-br,SubCategory_pt-br,Category_zh,SubCategory_zh,Category_tw,SubCategory_tw,Category_es,SubCategory_es,Category_ja,SubCategory_ja,Category_no,SubCategory_no,Category_da,SubCategory_da,Category_sv,SubCategory_sv,Category_fi,SubCategory_fi,Category_ru,SubCategory_ru,Category_ua,SubCategory_ua,Category_it,SubCategory_it,Category_nl,SubCategory_nl
AIR,MISC,AIRMisc,AIR,Air sounds not fitting another category in this list.,,AIR,DIVERS,POWIETRZE,RÓŻNE,LUFT,DIV,AR,DIVERSOS,AR,DIVERSOS,气体,杂项,氣體,其他,AIRE,MISCELÁNEA,空気,その他,LUFT,DIVERSE,LUFT,DIVERSE,LUFT,DIVERSE,ILMA,SEKALAISET,ВОЗДУХ,РАЗНОЕ,ПОВІТРЯ,РІЗНЕ,ARIA,MISC,LUCHT,DIVERSEN
AIR,BLOW,AIRBlow,AIR,"Steady air blows, like from a compressed can of air.","compressed air, depressurise, release, puff, sputter, flutter",AIR,SOUFFLE,POWIETRZE,PODMUCH,LUFT,BLASEN,AR,SOPRO,AR,SOPRO,气体,吹,氣體,吹,AIRE,SOPLAR,空気,吹く,LUFT,BLÅSE,LUFT,BLÆSE,LUFT,BLÅS,ILMA,PUHALLUS,ВОЗДУХ,ПОТОК,ПОВІТРЯ,ПОТІК,ARIA,SOFFIO,LUCHT,WAAIEN
AIR,BURST,AIRBrst,AIR,"Sharp air releases, pressure releases, a tennis call can popping open, a fire extinguisher","air blast, air poof, chuff, spurt, blast",AIR,EXPULSION,POWIETRZE,WYBUCH,LUFT,STOSS,AR,EXPLOSÃO,AR,EXPLOSÃO,气体,爆发/喷射,氣體,爆噴,AIRE,RÁFAGA,空気,バースト、爆発,LUFT,SPRENGNING,LUFT,SPRÆNGNING,LUFT,EXPLOSIV,ILMA,PURKAUS,ВОЗДУХ,ВЫСВОБОЖДЕНИЕ,ПОВІТРЯ,ВИВІЛЬНЕННЯ,ARIA,SCOPPIO,LUCHT,UITBARSTING
AIR,HISS,AIRHiss,AIR,"Slow air releases, a flat tire, leak in an air pipe.","air release, exhaust, expel",AIR,SIFFLEMENT,POWIETRZE,SYK,LUFT,ZISCHEN,AR,HISS,AR,HISS,气体,嘶嘶声,氣體,嘶嘶聲,AIRE,SILBIDO,空気,シュー、シッ、漏れる,LUFT,HISS,LUFT,HVÆSEN,LUFT,PYS,ILMA,SIHINÄ,ВОЗДУХ,ШИПЕНИЕ,ПОВІТРЯ,ШИПІННЯ,ARIA,SIBILO,LUCHT,SISSEN
AIR,SUCTION,AIRSuck,AIR,"Air sucking in, vacuum sucking in air.","vacuum, suck, suction",AIR,ASPIRATION,POWIETRZE,SSANIE,LUFT,SOG,AR,SUCÇÃO,AR,SUCÇÃO,气体,抽吸,氣體,抽吸,AIRE,SUCCIÓN,空気,吸う、吸引,LUFT,SUGE,LUFT,SUGE,LUFT,SUG,ILMA,IMU,ВОЗДУХ,ВСАСЫВАНИЕ,ПОВІТРЯ,ВСМОКТУВАННЯ,ARIA,RISUCCHIO,LUCHT,ZUIGING
AIRCRAFT,MISC,AEROMisc,AERO,Aircraft not fitting another category in this list.,"blimp, glider, hot air balloon, ultralight, hang glider, zeppelin, dirigible",AVIONS,DIVERS,LOTNICTWO,RÓŻNE,LUFTFAHRZEUG,DIV,AERONAVES,DIVERSOS,AERONAVES,DIVERSOS,航空器,杂项,飛機,其他,AVIÓN,MISCELÁNEA,航空機、飛行機,その他,LUFTFARTØY,DIVERSE,FLYVER,DIVERSE,LUFTFARKOSTER,DIVERSE,ILMA-ALUS,SEKALAINEN,АВИАТРАНСПОРТ,РАЗНОЕ,АВІАТРАНСПОРТ,РІЗНЕ,AVIAZIONE,MISC,LUCHTVAART,DIVERSEN
AIRCRAFT,HELICOPTER,AEROHeli,AERO,For all manner of helicopters.,"gyrocopter, whirlybird, chopper, ghetto bird, bellcopter, police chopper",AVIONS,HÉLICOPTÈRE,LOTNICTWO,HELIKOPTER,LUFTFAHRZEUG,HUBSCHRAUBER,AERONAVES,HELICÓPTERO,AERONAVES,HELICÓPTERO,航空器,直升机,飛機,直升機,AVIÓN,HELICÓPTERO,航空機、飛行機,ヘリコプター,LUFTFARTØY,HELIKOPTER,FLYVER,HELIKOPTER,LUFTFARKOSTER,HELIKOPTER,ILMA-ALUS,HELIKOPTERI,АВИАТРАНСПОРТ,ВЕРТОЛЕТ,АВІАТРАНСПОРТ,ГВИНТОКРИЛ,AVIAZIONE,ELICOTTERO,LUCHTVAART,HELIKOPTER
AIRCRAFT,JET,AEROJet,AERO,"All commercial and private jet powered aircraft, military jets would go under AIRCRAFT-MILITARY","airliner, jetliner, jumbo jet, learjet, airbus, boeing, bombardier, 737, 747, 777, A310, DC-10, A310, A330, A350, A380",AVIONS,À RÉACTION,LOTNICTWO,SAMOLOT ODRZUTOWY,LUFTFAHRZEUG,JET,AERONAVES,JATO,AERONAVES,JATO,航空器,喷气式飞机,飛機,噴射機,AVIÓN,CAZA,航空機、飛行機,ジェット,LUFTFARTØY,JET,FLYVER,JET,LUFTFARKOSTER,JET,ILMA-ALUS,LENTOKONE,АВИАТРАНСПОРТ,САМОЛЕТ РЕАКТИВНЫЙ,АВІАТРАНСПОРТ,ЛІТАК РЕАКТИВНИЙ,AVIAZIONE,JET,LUCHTVAART,STRAALJAGER
AIRCRAFT,MECHANISM,AEROMech,AERO,"Mechanical components of aircraft, for example landing gear, or levers and switches.","landing gear, cockpit lever, rudder, flap, landing gear",AVIONS,MÉCANISME,LOTNICTWO,MECHANIZM,LUFTFAHRZEUG,MECHANISMUS,AERONAVES,MECANISMO,AERONAVES,MECANISMO,航空器,机械,飛機,機械裝置,AVIÓN,MECANISMO,航空機、飛行機,機械,LUFTFARTØY,MEKANISME,FLYVER,MEKANISME,LUFTFARKOSTER,MEKANISM,ILMA-ALUS,MEKANISMI,АВИАТРАНСПОРТ,МЕХАНИЗМ,АВІАТРАНСПОРТ,МЕХАНІЗМ,AVIAZIONE,MECCANISMO,LUCHTVAART,
AIRCRAFT,MILITARY,AEROMil,AERO,"Military aircraft, military fighter jets, stealth bombers, but any military aircraft goes here. Also military drones.","fighter jet, bomber, stealth bomber, blue angels, thunderbirds, lockheed, mig, F18, F16, F35, F22, A10, P52",AVIONS,MILITAIRE,LOTNICTWO,WOJSKOWE,LUFTFAHRZEUG,MILITÄR,AERONAVES,MILITAR,AERONAVES,MILITAR,航空器,军用,飛機,軍用,AVIÓN,MILITAR,航空機、飛行機,軍用機,LUFTFARTØY,MILITÆRT,FLYVER,MILITÆR,LUFTFARKOSTER,MILITÄR,ILMA-ALUS,ARMEIJA,АВИАТРАНСПОРТ,ВОЕННЫЙ,АВІАТРАНСПОРТ,ВІЙСЬКОВИЙ,AVIAZIONE,MILITARE,LUCHTVAART,
